# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_20
 # Operator: Dominic
 # Date: Tue Feb 26 09:50:37 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
-929.873                -6.51662e-07            --                      --                      21.8                    21.9                    
-934.858                -6.58083333333e-07      --                      --                      21.8                    21.9                    
-939.851333333          -6.64736666667e-07      --                      --                      21.8                    21.9                    
-944.868666667          -6.71748e-07            --                      --                      21.8                    21.9                    
-949.860666667          -6.78109333333e-07      --                      --                      21.8                    22.0                    
-954.856666667          -6.84791e-07            --                      --                      21.8                    22.0                    
-959.847                -6.91803333333e-07      --                      --                      21.8                    22.0                    
-964.864                -6.98168e-07            --                      --                      21.8                    22.0                    
-969.854666667          -7.05341333333e-07      --                      --                      21.8                    22.0                    
-974.847                -7.12864333333e-07      --                      --                      21.8                    22.0                    
-979.864666667          -7.1949e-07             --                      --                      21.8                    22.1                    
-984.860666667          -7.26878e-07            --                      --                      21.8                    22.1                    
-989.851333333          -7.34196333333e-07      --                      --                      21.8                    22.1                    
-994.843333333          -7.41413666667e-07      --                      --                      21.8                    22.1                    
-999.861333333          -7.48617333333e-07      --                      --                      21.8                    22.1                    
