# This pad file is for the HPK 2S sensor for the 6inch runs, contact in the middle

Campaign: Hamamatsu 6inch 2S					
Creator: Dominic Bloech 03.12.2018
				
reference pad: 2			
reference pad: 1017					
reference pad: 1016

# Additional parameters
implant_length: 0
metal_width: 32
implant_width: 22
metal_length: 49504
pitch: 90
thickness: 240
type: p-type

strip	x	y	z
591	0	-53100	0
592	0	-53190	0
593	0	-53280	0
594	0	-53370	0
595	0	-53460	0
596	0	-53550	0
597	0	-53640	0
598	0	-53730	0
599	0	-53820	0
600	0	-53910	0
601	0	-54000	0
602	0	-54090	0
603	0	-54180	0
604	0	-54270	0
605	0	-54360	0
606	0	-54450	0
607	0	-54540	0
608	0	-54630	0
609	0	-54720	0
610	0	-54810	0
611	0	-54900	0
612	0	-54990	0
613	0	-55080	0
614	0	-55170	0
615	0	-55260	0
616	0	-55350	0
617	0	-55440	0
618	0	-55530	0
619	0	-55620	0
620	0	-55710	0
621	0	-55800	0
622	0	-55890	0
623	0	-55980	0
624	0	-56070	0
625	0	-56160	0
626	0	-56250	0
627	0	-56340	0
628	0	-56430	0
629	0	-56520	0
630	0	-56610	0
631	0	-56700	0
632	0	-56790	0
633	0	-56880	0
634	0	-56970	0
635	0	-57060	0
636	0	-57150	0
637	0	-57240	0
638	0	-57330	0
639	0	-57420	0
640	0	-57510	0
641	0	-57600	0
642	0	-57690	0
643	0	-57780	0
644	0	-57870	0
645	0	-57960	0
646	0	-58050	0
647	0	-58140	0
648	0	-58230	0
649	0	-58320	0
650	0	-58410	0
651	0	-58500	0
652	0	-58590	0
653	0	-58680	0
654	0	-58770	0
655	0	-58860	0
656	0	-58950	0
657	0	-59040	0
658	0	-59130	0
659	0	-59220	0
660	0	-59310	0
661	0	-59400	0
662	0	-59490	0
663	0	-59580	0
664	0	-59670	0
665	0	-59760	0
666	0	-59850	0
667	0	-59940	0
668	0	-60030	0
669	0	-60120	0
670	0	-60210	0
671	0	-60300	0
672	0	-60390	0
673	0	-60480	0
674	0	-60570	0
675	0	-60660	0
676	0	-60750	0
677	0	-60840	0
678	0	-60930	0
679	0	-61020	0
680	0	-61110	0
681	0	-61200	0
682	0	-61290	0
683	0	-61380	0
684	0	-61470	0
685	0	-61560	0
686	0	-61650	0
687	0	-61740	0
688	0	-61830	0
689	0	-61920	0
690	0	-62010	0
691	0	-62100	0
692	0	-62190	0
693	0	-62280	0
694	0	-62370	0
695	0	-62460	0
696	0	-62550	0
697	0	-62640	0
698	0	-62730	0
699	0	-62820	0
700	0	-62910	0
701	0	-63000	0
702	0	-63090	0
703	0	-63180	0
704	0	-63270	0
705	0	-63360	0
706	0	-63450	0
707	0	-63540	0
708	0	-63630	0
709	0	-63720	0
710	0	-63810	0
711	0	-63900	0
712	0	-63990	0
713	0	-64080	0
714	0	-64170	0
715	0	-64260	0
716	0	-64350	0
717	0	-64440	0
718	0	-64530	0
719	0	-64620	0
720	0	-64710	0
721	0	-64800	0
722	0	-64890	0
723	0	-64980	0
724	0	-65070	0
725	0	-65160	0
726	0	-65250	0
727	0	-65340	0
728	0	-65430	0
729	0	-65520	0
730	0	-65610	0
731	0	-65700	0
732	0	-65790	0
733	0	-65880	0
734	0	-65970	0
735	0	-66060	0
736	0	-66150	0
737	0	-66240	0
738	0	-66330	0
739	0	-66420	0
740	0	-66510	0
741	0	-66600	0
742	0	-66690	0
743	0	-66780	0
744	0	-66870	0
745	0	-66960	0
746	0	-67050	0
747	0	-67140	0
748	0	-67230	0
749	0	-67320	0
750	0	-67410	0
751	0	-67500	0
752	0	-67590	0
753	0	-67680	0
754	0	-67770	0
755	0	-67860	0
756	0	-67950	0
757	0	-68040	0
758	0	-68130	0
759	0	-68220	0
760	0	-68310	0
761	0	-68400	0
762	0	-68490	0
763	0	-68580	0
764	0	-68670	0
765	0	-68760	0
766	0	-68850	0
767	0	-68940	0
768	0	-69030	0
769	0	-69120	0
770	0	-69210	0
771	0	-69300	0
772	0	-69390	0
773	0	-69480	0
774	0	-69570	0
775	0	-69660	0
776	0	-69750	0
777	0	-69840	0
778	0	-69930	0
779	0	-70020	0
780	0	-70110	0
781	0	-70200	0
782	0	-70290	0
783	0	-70380	0
784	0	-70470	0
785	0	-70560	0
786	0	-70650	0
787	0	-70740	0
788	0	-70830	0
789	0	-70920	0
790	0	-71010	0
791	0	-71100	0
792	0	-71190	0
793	0	-71280	0
794	0	-71370	0
795	0	-71460	0
796	0	-71550	0
797	0	-71640	0
798	0	-71730	0
799	0	-71820	0
800	0	-71910	0
801	0	-72000	0
802	0	-72090	0
803	0	-72180	0
804	0	-72270	0
805	0	-72360	0
806	0	-72450	0
807	0	-72540	0
808	0	-72630	0
809	0	-72720	0
810	0	-72810	0
811	0	-72900	0
812	0	-72990	0
813	0	-73080	0
814	0	-73170	0
815	0	-73260	0
816	0	-73350	0
817	0	-73440	0
818	0	-73530	0
819	0	-73620	0
